model name,word,test set definition,ranking
reversedictionary.org,can,a buoy with a round bottom and conical top,1
reversedictionary.org,educationist,a specialist in the theory of education,47
reversedictionary.org,lyceum,a school for students intermediate between elementary school and college ; usually grades 9 to 12,2
reversedictionary.org,technology,the practical application of science to commerce or industry,1
reversedictionary.org,device,a contrivance or an invention serving a particular purpose especially a machine used to perform one or more relatively simple tasks,1
reversedictionary.org,look,to employ one s sight especially in a given direction or on a given object looking out the window looked at the floor,1
reversedictionary.org,robotics,the science or study of the technology associated with the design fabrication theory and application of robots,1
reversedictionary.org,technical,of relating to or derived from technique,1
reversedictionary.org,foxhunt,a hunt for foxes normally with dogs,-1
reversedictionary.org,falcon,any of various birds of prey of the family falconidae and especially of the genus falco having a short curved beak and long pointed powerful wings adapted for swift flight,1
reversedictionary.org,ferret,a weasellike usually albino mammal mustela putorius furo related to the polecat and often trained to hunt rats or rabbits,1
reversedictionary.org,timpani,a set of kettledrums,1
reversedictionary.org,sadness,the state or emotion of being sad,1
reversedictionary.org,kindergarten,a program or class for four year old to six year old children that serves as an introduction to school,1
reversedictionary.org,development,the act of developing,1
reversedictionary.org,sound,vibrations transmitted through an elastic solid or a liquid or gas with frequencies in the approximate range of to hertz capable of being detected by human organs of hearing,1
reversedictionary.org,psychology,the science that deals with mental processes and behavior,1
reversedictionary.org,invention,the act or process of inventing used a technique of her own invention,1
reversedictionary.org,society,the totality of social relationships among humans,1
reversedictionary.org,telephone,an instrument that converts voice and other sound signals into a form that can be transmitted to remote locations and that receives and reconverts waves into sound signals,1
reversedictionary.org,sympathy,a relationship or an affinity between people or things in which whatever affects one correspondingly affects the other,1
reversedictionary.org,fowl,any of various birds of the order galliformes especially the common widely domesticated chicken gallus gallus,1
reversedictionary.org,fear,a feeling of agitation and anxiety caused by the presence or imminence of danger,1
reversedictionary.org,lesson,something to be learned lessons from observing nature,1
reversedictionary.org,chord,a combination of three or more pitches sounded simultaneously,1
reversedictionary.org,guitar,a musical instrument having a flat backed rounded body that narrows in the middle a long fretted neck and usually six strings played by strumming or plucking,1
reversedictionary.org,mood,a state of mind or emotion,2
reversedictionary.org,course,a complete body of prescribed studies constituting a curriculum a four year course in engineering,1
reversedictionary.org,biomedical,of or pertaining to biomedicine,1
reversedictionary.org,orchestral,relating to an orchestra or to music played by an orchestra,1
reversedictionary.org,ardor,fiery intensity of feeling,66
reversedictionary.org,cannister,a usually cylindrical storage container especially,-1
reversedictionary.org,dog,a domesticated carnivorous mammal canis familiaris related to the foxes and wolves and raised in a wide variety of breeds,1
reversedictionary.org,classwork,that part of a scholar s work that is done in class,1
reversedictionary.org,shoot,to hit wound or kill with a missile fired from a weapon,1
reversedictionary.org,trumpet,a soprano brass wind instrument consisting of a long metal tube looped once and ending in a flared bell the modern type being equipped with three valves for producing variations in pitch,1
reversedictionary.org,homework,work such as schoolwork or piecework that is done at home,1
reversedictionary.org,bucket,a cylindrical vessel used for holding or carrying liquids or solids a pail,1
reversedictionary.org,anxiety,a state of uneasiness and apprehension as about future uncertainties,1
reversedictionary.org,teacher,one who teaches especially one hired to teach,1
reversedictionary.org,tuition,a fee for instruction especially at a formal institution of learning,1
reversedictionary.org,stalk,a stem or main axis of a herbaceous plant,1
reversedictionary.org,machine,a device consisting of fixed and moving parts that modifies mechanical energy and transmits it in a more useful form,1
reversedictionary.org,predation,the act or practice of plundering or marauding,1
reversedictionary.org,hunter,one who hunts game,1
reversedictionary.org,saxophone,a woodwind instrument with a single reed mouthpiece and a usually curved conical metal tube including soprano alto tenor and baritone sizes,1
reversedictionary.org,impression,an effect feeling or image retained as a consequence of experience,1
reversedictionary.org,flute,a high pitched woodwind instrument consisting of a slender tube closed at one end with keys and finger holes on the side and an opening near the closed end across which the breath is blown,1
reversedictionary.org,sentiment,a thought view or attitude especially one based mainly on emotion instead of reason an anti american sentiment swept through the country,1
reversedictionary.org,fervency,the condition or quality of being fervent,408
reversedictionary.org,tutoring,a private instructor,-1
