model name,word,test set definition,ranking
multi-qa-distilbert-cos-v1,educationist,someone who educates or reasons about education as a profession,-1
multi-qa-distilbert-cos-v1,lyceum,a small lecture theatre,-1
multi-qa-distilbert-cos-v1,kindergarten,"an institution providing childcare, education and socialisation for pre-school children",1
multi-qa-distilbert-cos-v1,development,progress in growth as a child,-1
multi-qa-distilbert-cos-v1,society,a set of conventions and norms set in place by a community of humans,10
multi-qa-distilbert-cos-v1,lesson,a unit of teaching in time or topic,1
multi-qa-distilbert-cos-v1,course,a collection of lessons often with a unified goal or story,1
multi-qa-distilbert-cos-v1,classwork,component of learning that is actively completed in class,8
multi-qa-distilbert-cos-v1,homework,component of learning that is completed at home after time spent with a teacher,1
multi-qa-distilbert-cos-v1,teacher,leader and educator of a class with specialised knowledge,5
multi-qa-distilbert-cos-v1,tuition,specialised teaching often personalised or paid for,-1
multi-qa-distilbert-cos-v1,tutoring,private often additional teaching,1
multi-qa-distilbert-cos-v1,knowledge,collection of justified beliefs able to be recalled,-1
multi-qa-distilbert-cos-v1,experience,knowledge gained by having observed a variety of situations,9
multi-qa-distilbert-cos-v1,skill,practical knowledge,-1
multi-qa-distilbert-cos-v1,training,practise of a special skill often with instruction,-1
multi-qa-distilbert-cos-v1,apprenticeship,a course of training often with the aim of making a skill a profession commenced after school,-1
multi-qa-distilbert-cos-v1,literacy,being able to read and write,-1
multi-qa-distilbert-cos-v1,preparation,the process of transitioning into a state of readiness for a certain task,-1
multi-qa-distilbert-cos-v1,erudition,"having or obtaining rare, deep knowledge",10
multi-qa-distilbert-cos-v1,tutelage,"private, individual teaching",-1
multi-qa-distilbert-cos-v1,medicine,"the field concerning the body and mind, its illnesses, diagnosis and cures",-1
multi-qa-distilbert-cos-v1,educational,with benefit regarding teaching or learning,-1
multi-qa-distilbert-cos-v1,school,institution of teaching and learning,-1
multi-qa-distilbert-cos-v1,student,a person being taught in an institution,-1
multi-qa-distilbert-cos-v1,pedagogy,the academic study of approaches to teaching and education,-1
multi-qa-distilbert-cos-v1,curriculum,a pre-set outline of topics of study,-1
multi-qa-distilbert-cos-v1,culture,"an abstract collection of norms, attitudes, traditions and conventions specific to a group of people",8
multi-qa-distilbert-cos-v1,profession,a primary occupation one earns money with,-1
multi-qa-distilbert-cos-v1,schooling,the collection of instruction and teaching given at an institution often a school,-1
multi-qa-distilbert-cos-v1,learning,the process of acquiring a skill or knowledge,-1
multi-qa-distilbert-cos-v1,instruction,the process of telling someone what to do and how to do it,-1
multi-qa-distilbert-cos-v1,science,"the empirical study of observable phenomena aiming ot quantify, explain and predict",8
multi-qa-distilbert-cos-v1,adult,someone responsible for oneself,-1
multi-qa-distilbert-cos-v1,coeducation,the educational paradigm of mixing children of different genders at school,1
multi-qa-distilbert-cos-v1,scholarship,a usual financial reward and recognition of exceeding perfomance enabling a student to enter an institution,5
multi-qa-distilbert-cos-v1,education,the field of learning and teaching,1
multi-qa-distilbert-cos-v1,university,an institution of higher learning marked by programs that award degrees and research,1
multi-qa-distilbert-cos-v1,breeding,selective procreation to develop a certain characteristic often marked by a large quantity,-1
multi-qa-distilbert-cos-v1,classroom,a room designated for teaching small groups,4
multi-qa-distilbert-cos-v1,didactics,"teaching in a unforgiving, stern manner often moral",-1
multi-qa-distilbert-cos-v1,research,gathering of knowledge and novel insights,-1
multi-qa-distilbert-cos-v1,preschool,"time, age or institution before school",-1
multi-qa-distilbert-cos-v1,humanities,a collection of fields of study relating to the human experience,-1
multi-qa-distilbert-cos-v1,undergraduate,before obtaining a degree,-1
multi-qa-distilbert-cos-v1,homeschooling,the act of teaching at home often due to a rejection of institutional teaching,-1
