existing solution name,word,test set definition,ranking
OneLook,can,Buoy round bottom and conical top,4
OneLook,educationist,Specialist in educational theory,6
OneLook,lyceum,high school and college; Usually 9th to 12th grade,84
OneLook,technology,Practical application of science in commerce or industry,1
OneLook,device,"a device or invention that serves a purpose, especially a machine used to perform one or more relatively simple tasks",-1
OneLook,look,"Use a gaze, especially in a direction or an object to look out a window, look at the floor",-1
OneLook,robotics,The science or study of technology related to production design theory and the use of robots,1
OneLook,techical,related to or derived from technology,66
OneLook,foxhunt,Hunting wolves and dogs,-1
OneLook,falcon,"Any bird of prey in the falcon family, and especially in the falcon genus, having a short curved beak and long, pointed, strong wings adapted for rapid flight.",-1
OneLook,ferret,"Stony mammals, usually albinos, Mustela Putorius furo, related to the ogre and usually trained to hunt mice or rabbits.",1
OneLook,timpani,A set of blankets,-1
OneLook,sadness,The state or emotion of being sad,1
OneLook,kindergarten,A program or activity for four to six year olds that is an introduction to school,2
OneLook,development,Job development,-1
OneLook,sound,"Vibrations are transmitted through an elastic solid, liquid or gas with frequencies in the Hertz range that can be detected by human hearing.",1
OneLook,psychology,The science that deals with cognitive processes and behavior,1
OneLook,invention,The act or process of inventing uses one's own inventive techniques,18
OneLook,society,A set of social relationships between people,-1
OneLook,telephone,An instrument that converts voice and other sound signals into a form that can be transmitted over long distances and receives the waves and converts them into sound signals.,1
OneLook,sympathy,A relationship or association between people and things in which what affects one has a corresponding effect on the other,1
OneLook,fowl,"Any bird of the order Galliformes, especially the common domestic fowl gallus gallus",-1
OneLook,fear,A feeling of restlessness and anxiety due to the presence or impending danger,5
OneLook,lesson,Some lessons can be learned by observing nature,-1
OneLook,chord,A combination of three or more notes sounding together,1
OneLook,guitar,A musical instrument with a round, flat back that curves at the center of a long neck and usually has six strings that are plucked or plucked.,2
OneLook,mood,A state of mind or emotion,1
OneLook,course,A comprehensive set of prescribed studies covering the four-year engineering curriculum,5
OneLook,biomedical,or related to biomedicine,1
OneLook,orchestral,Of or related to music of an orchestra,1
OneLook,ardor,Feeling of burning intensity,3
OneLook,cannister,Especially the typical cylindrical storage bin,-1
OneLook,dog,"Canis familis is a carnivorous mammal, related to wolves and foxes and bred in several breeds.",1
OneLook,classwork,Part of a scientist's work is done in the classroom,-1
OneLook,shoot,To injure or kill by a projectile fired from a gun,1
OneLook,trumpet,"A brass instrument for the soprano, consisting of a long metal tube coiled once and ending in a bell, began in the modern type, with three pipes to produce a difference in tone.",2
OneLook,homework,Tasks such as schoolwork or homework,30
OneLook,bucket,A cylindrical container used for storing or transporting buckets of liquids or solids,18
OneLook,anxiety,A state of fear and worry about an uncertain future,1
OneLook,teacher,"A person who teaches, especially one who teaches",4
OneLook,tuition,"Tuition fees, especially at a formal educational institution",-1
OneLook,stalk,The stem or main axis of a plant,2
OneLook,machine,A device with fixed and moving parts that converts mechanical energy into a more useful form,1
OneLook,predation,The act or habit of stealing or stealing,-1
OneLook,hunter,Someone who hunts game,1
OneLook,saxophone,"A woodwind instrument with a reed mouthpiece and usually a curved conical metal pipe, covering the soprano-alto-tenor and baritone scales.",1
OneLook,impression,An emotional feeling or image that persists as a result of an experience,2
OneLook,flute,A high woodwind instrument consisting of a thin tube closed at one end with keys and finger holes on the side and a hole near the closed end through which the breath is taken.,1
OneLook,sentiment,"An opinion or attitude, especially one based largely on emotion rather than reason, and an anti-American sentiment sweeping through the nation.",-1
OneLook,fervency,The state or quality of being warm,-1
OneLook,tutoring,Private tutor,-1
OneLook,knowledge,state or fact of knowledge,34
OneLook,experience,Capture a thought or emotion through the senses or mind during a child's first snow experience,-1
OneLook,frustration,An act or example of frustration,52
OneLook,bat,A strong wooden stick of sticks,-1
OneLook,prey,An animal that hunts or catches food,-1
OneLook,searching,To investigate or scrutinize exploratory research into past relationships,-1
OneLook,barrel,"A large cylindrical container, usually made of sticks tied into rings with a flat top and bottom of the same diameter.",1
OneLook,cram,Forcefully grasping or squeezing objects with insufficient space,53
OneLook,love,Deep feelings of inexplicable tenderness of love and prayer for someone, for example, recognition of family in attractive qualities or a feeling of deep unity.,-1
OneLook,skill,Skills or knowledge acquired or developed through education or experience,31
OneLook,harmonica,A small rectangular instrument consisting of a series of loose reeds inserted into the air hole at the back and played by breathing or blowing.,1
OneLook,thump,hitting with a blunt object,-1
OneLook,intensity,Extremely concentrated force or power,1
OneLook,band,A group of musicians performs as an ensemble,2
OneLook,expertise,Expert advice or opinion,3
OneLook,training,The process or routine of an athlete,1
OneLook,pat,A quick light stroke with the fingers or hands,3
OneLook,instrument,A measuring or controlling device, especially one that functions as part of a control system,4
OneLook,apprenticeship,The student's status or time worked,-1
OneLook,automation,Automated operation or equipment control is a process or system,1
OneLook,scouring,Check the location carefully,-1
OneLook,literacy,"The state or quality of literacy, especially the ability to read and write",1
OneLook,preparation,The act or process of preparation,7
OneLook,jazz,"A Native American musical style characterized by a strong but flexible rhythmic structure, solo and ensemble improvisation of basic melodies and chord patterns, and, more recently, a highly complex harmonic idiom.",1
OneLook,manufacturing,the action of the verb do,-1
OneLook,erudition,deep learning,-1
OneLook,tin,A nodular silver metal element found mainly in casities,33
OneLook,progress,act in a way to achieve the goal,-1
OneLook,anger,A strong feeling of anger or rage,6
OneLook,wireless,The word wireless is often used to refer to any type of electrical or electronic operation that takes place without a wired connection.,-1
OneLook,shop,A small store or a specialty department in a large store,2
OneLook,tutelage,"Students are taught individually, usually by a private teacher",8
OneLook,computer,"A computing device, especially a programmable electronic machine, that performs mathematical or logical operations at high speed or collects, stores, or processes relevant information.",1
OneLook,medicine,The science of the diagnosis, treatment, or prevention of diseases and other disorders of the body or mind,2
OneLook,digital,connecting or resembling a digit, especially a finger,1
OneLook,rap,A quick punch or kick,-1
OneLook,educational,or related to education,1
OneLook,computing,"Determine the amount of tax using mathematics, especially numerical methods",-1
OneLook,communication,The act of sending a communication,-1
OneLook,fire,MOTIVATION,-1
OneLook,hound,"Any breed of domestic dog, often used for hunting, with lop ears, short coat and a low voice.",2
OneLook,school,An educational institution for children or minors,1
OneLook,drumhead,The material is stretched over one end of the drum or the other,1
OneLook,internet,An interconnected system of networks that connects computers around the world using the TCP IP protocol,1
OneLook,scientific,deploy or apply scientific methodology,-1
OneLook,bongo,One of the pairs played a drum together with short hands,-1
OneLook,nanotechnology,The science and technology of creating devices such as electronic circuits from individual atoms and molecules,1
OneLook,student,Anyone who studies or takes classes at a college or university,1
OneLook,knock,Big hit,-1
OneLook,devices,counting device,-1
OneLook,chase,a quick pursuit to catch or pursue a thief,1
OneLook,hunting,tracking activity or game,-1
OneLook,pedagogy,the art or profession of teaching,2
OneLook,prospect,examine or examine,-1
OneLook,curriculum,all courses offered by the institution,1
OneLook,pail,a watertight cylindrical container with an opening at the top and a bucket handle,1
OneLook,clap,a sudden explosive clap, like the clapping of hands,-1
OneLook,club,"A strong, heavy stick, usually with a thick point, for use as a weapon by bandits",1
OneLook,energy,the ability or endurance to do strenuous work,-1
OneLook,pursuit,to pursue or pursue a course of action or action,-1
OneLook,slam,to strike or beat with great force,-1
OneLook,percussion,"Knock between two bodies, especially when it makes a sound.",-1
