model name,word,test set definition,ranking
multi-qa-distilbert-cos-v1,can,A boa with a rounded bottom and a conical top,2
multi-qa-distilbert-cos-v1,educationist,Expert in educational theory,1
multi-qa-distilbert-cos-v1,lyceum,Schooling students between primary school and university; Usually in grades 9 to 12,1
multi-qa-distilbert-cos-v1,technology,Practical application of science in commerce or industry,1
multi-qa-distilbert-cos-v1,device,"A design or invention that has a specific purpose, especially a machine for performing one or more simple tasks.",1
multi-qa-distilbert-cos-v1,look,Point directly at the eye or object by looking out the window and looking down,1
multi-qa-distilbert-cos-v1,robotics,Scientific or technical research related to the design principles and applications of robotics,1
multi-qa-distilbert-cos-v1,technical,Pertaining to or based on specialized knowledge,2
multi-qa-distilbert-cos-v1,foxhunt,"Fox hunting, usually with dogs",1
multi-qa-distilbert-cos-v1,falcon,"Any species of bird of prey belonging to the Falconidae family, especially the falco species with a short curved beak and long, pointed, strong wings adapted for fast flight.",1
multi-qa-distilbert-cos-v1,ferret,Albino-like mammals Musella putorius furrow related to ferrets and often trained to hunt mice and rabbits.,1
multi-qa-distilbert-cos-v1,timpani,Kettle set,-1
multi-qa-distilbert-cos-v1,sadness,The mood or feeling should be sympathetic,-1
multi-qa-distilbert-cos-v1,kindergarten,A program or activity for children aged four to six that serves as an introduction to school,1
multi-qa-distilbert-cos-v1,development,Corrective action,-1
multi-qa-distilbert-cos-v1,sound,"Strongly transmitted vibrations of elastic materials, liquids or gases with amplitudes in the limited hertz range detected by the human auditory organ.",1
multi-qa-distilbert-cos-v1,psychology,Psychology and Behavioral Sciences,3
multi-qa-distilbert-cos-v1,invention,His work or method of creation uses the method he created,1
multi-qa-distilbert-cos-v1,society,The essence of social relations between people,1
multi-qa-distilbert-cos-v1,telephone,A device that converts speech and other sound signals into a form that can be transmitted over long distances and that receives and converts waves into sound signals,1
multi-qa-distilbert-cos-v1,sympathy,A connection or relationship between people or things where whatever affects one affects the other,1
multi-qa-distilbert-cos-v1,fowl,"Any species of bird in the order Galliformes, especially the chicken Gallus gallus, which is widely domesticated.",1
multi-qa-distilbert-cos-v1,fear,Feelings of sadness and anxiety caused by the presence or proximity of danger,2
multi-qa-distilbert-cos-v1,lesson,Something that needs to be concluded when observing nature,1
multi-qa-distilbert-cos-v1,chord,A combination of three or more sounds heard at the same time,1
multi-qa-distilbert-cos-v1,guitar,"A musical instrument with a flat, round body, tapering in the middle, and a long running neck, usually played by striking or plucking six strings.",1
multi-qa-distilbert-cos-v1,mood,A state of mind or feeling,1
multi-qa-distilbert-cos-v1,course,The complete set of prescribed courses that make up the four-year engineering program,1
multi-qa-distilbert-cos-v1,biomedical,or related to biomedicine,1
multi-qa-distilbert-cos-v1,orchestral,Relating to an orchestra or orchestral music,1
multi-qa-distilbert-cos-v1,ardor,The intensity of emotional fire,1
multi-qa-distilbert-cos-v1,cannister,Specifically cylindrical storage containers,1
multi-qa-distilbert-cos-v1,dog,"Domesticated carnivorous mammals related to foxes and wolves, domesticated in various species.",1
multi-qa-distilbert-cos-v1,classwork,Part of the student's work in class,1
multi-qa-distilbert-cos-v1,shoot,To injure or kill with an arrow shot from a weapon,4
multi-qa-distilbert-cos-v1,trumpet,A brass soprano wind instrument consisting of a long steel tube and made of a modern type of flared steel with three variable pitch valves.,1
multi-qa-distilbert-cos-v1,homework,"Work, such as housework or housework",1
multi-qa-distilbert-cos-v1,bucket,Cylinders are used to hold or move liquids or solids in piles,4
multi-qa-distilbert-cos-v1,anxiety,A state of anxiety and fear of impending uncertainty,1
multi-qa-distilbert-cos-v1,teacher,Who teaches more than teaching,1
multi-qa-distilbert-cos-v1,tuition,Tuition fees especially in formal educational institutions,1
multi-qa-distilbert-cos-v1,stalk,The main stem or axis of a herbaceous plant,1
multi-qa-distilbert-cos-v1,machine,A device consisting of fixed and moving parts that converts mechanical energy and releases it in a more useful way,1
multi-qa-distilbert-cos-v1,predation,The act or habit of stealing or stealing,-1
multi-qa-distilbert-cos-v1,hunter,Who hunts animals,1
multi-qa-distilbert-cos-v1,saxophone,"Woodwind instrument with single reed mouthpiece and collapsible tube, available in soprano alto tenor and baritone sizes.",1
multi-qa-distilbert-cos-v1,impression,Feelings or images formed as a result of experience,1
multi-qa-distilbert-cos-v1,flute,"A long wooden wind instrument consisting of a thin tube with holes for keys and fingers at one end, and a hole near the closed end through which air is blown.",1
multi-qa-distilbert-cos-v1,sentiment,A view or attitude based on emotion rather than simply on the idea that anti-American sentiment has spread throughout the country.,1
multi-qa-distilbert-cos-v1,fervency,A state or degree of arousal,-1
multi-qa-distilbert-cos-v1,tutoring,the teacher,-1
multi-qa-distilbert-cos-v1,knowledge,The state or reality of knowledge,-1
multi-qa-distilbert-cos-v1,experience,Capturing a small thought or feeling through the senses or mind during a child's first experience in the snow,-1
multi-qa-distilbert-cos-v1,frustration,Sad work or sad example,-1
multi-qa-distilbert-cos-v1,bat,A strong stick and rope,-1
multi-qa-distilbert-cos-v1,prey,Animals that are hunted or caught for the purpose of finding food,-1
multi-qa-distilbert-cos-v1,searching,Take a closer look or carefully analyze your search terms for their past sales,-1
multi-qa-distilbert-cos-v1,barrel,A large cylindrical bowl made of wood connected by flat hooks at the top and bottom of the same width,-1
multi-qa-distilbert-cos-v1,cram,Press or squeeze firmly into a solid container,-1
multi-qa-distilbert-cos-v1,love,A deep and indescribable feeling of love and care similar to that resulting from the experience of desire or attachment,-1
multi-qa-distilbert-cos-v1,skill,A center of expertise or intelligence acquired or developed through training or experience,-1
multi-qa-distilbert-cos-v1,harmonica,A small rectangular instrument consisting of rows of free reeds is pulled into the air hole and played by blowing or blowing.,-1
multi-qa-distilbert-cos-v1,thump,Struck by trickery,-1
multi-qa-distilbert-cos-v1,intensity,The power of concentration or the greatest power,-1
multi-qa-distilbert-cos-v1,band,A group of musicians sing as a group,-1
multi-qa-distilbert-cos-v1,expertise,Professional advice or opinion,-1
multi-qa-distilbert-cos-v1,training,Trainee process or practice,-1
multi-qa-distilbert-cos-v1,pat,A finger swipe or a quick tap or touch,-1
multi-qa-distilbert-cos-v1,instrument,"A measuring or recording control device, especially a device that is part of a control system",-1
multi-qa-distilbert-cos-v1,apprenticeship,the situation or while the student is working,-1
multi-qa-distilbert-cos-v1,automation,"Automatic operation or control of a device, process or system",-1
multi-qa-distilbert-cos-v1,scouring,To find the site correctly,-1
multi-qa-distilbert-cos-v1,literacy,"Level or level of education, especially literacy",5
multi-qa-distilbert-cos-v1,preparation,Preparation activity or process,-1
multi-qa-distilbert-cos-v1,jazz,"A musical style originally from America, characterized by strong but flexible rhythms developed by soloists and a combination of basic melodies and singing patterns, and more recently, more complex harmonic expressions.",1
multi-qa-distilbert-cos-v1,manufacturing,Action is about doing something,-1
multi-qa-distilbert-cos-v1,erudition,Comprehensive deep learning,1
multi-qa-distilbert-cos-v1,tin,A soft silvery metal found mainly in cassiterite,1
multi-qa-distilbert-cos-v1,progress,Movement as a forward objective,-1
multi-qa-distilbert-cos-v1,anger,Strong feelings of anger or hatred,-1
multi-qa-distilbert-cos-v1,wireless,"The term ""wireless"" is used to describe any type of electrical or electronic operation that can be performed without a wired connection.",-1
multi-qa-distilbert-cos-v1,shop,A small grocery store or specialty convenience store,-1
multi-qa-distilbert-cos-v1,tutelage,Students are taught individually at all times by a teacher who works privately,-1
multi-qa-distilbert-cos-v1,computer,"A computing device, especially a programmable electronic machine, that performs fast mathematical or logical operations or collects information related to data or processes.",-1
multi-qa-distilbert-cos-v1,medicine,Science determines how to treat or prevent disease and other physical or mental disorders,-1
multi-qa-distilbert-cos-v1,digital,Pertaining to or resembling digits such as fingers,-1
multi-qa-distilbert-cos-v1,rap,A quick hit or tap,-1
multi-qa-distilbert-cos-v1,educational,Education or related to education,-1
multi-qa-distilbert-cos-v1,computing,Which will be determined mathematically rather than a numerical calculation of the tax to be paid,1
multi-qa-distilbert-cos-v1,communication,Transfer process,-1
multi-qa-distilbert-cos-v1,fire,and excitement,-1
multi-qa-distilbert-cos-v1,hound,"Domestic dogs of many breeds used for hunting have short ears, short hair, and deep, moving voices.",-1
multi-qa-distilbert-cos-v1,school,Educational institutions for children or schoolchildren,-1
multi-qa-distilbert-cos-v1,drumhead,Information is extended to the end or end of the drum,-1
multi-qa-distilbert-cos-v1,internet,An interconnected network system that connects computers around the world through the tcp ip protocol,-1
multi-qa-distilbert-cos-v1,scientific,About the scientific method or its application,-1
multi-qa-distilbert-cos-v1,bongo,One of the attached tuning drums is played by striking it with the hands,-1
multi-qa-distilbert-cos-v1,nanotechnology,"Materials science and technology, such as electronic circuits made of single atoms and molecules",1
multi-qa-distilbert-cos-v1,student,Enroll in or attend classes at a college or university,-1
multi-qa-distilbert-cos-v1,knock,hit hard,-1
multi-qa-distilbert-cos-v1,devices,There is a lot of equipment,-1
multi-qa-distilbert-cos-v1,chase,Catch or overtake the thief quickly,-1
multi-qa-distilbert-cos-v1,hunting,Following a career or sport,-1
multi-qa-distilbert-cos-v1,pedagogy,artwork or teacher,-1
multi-qa-distilbert-cos-v1,prospect,questions or surveys,-1
multi-qa-distilbert-cos-v1,curriculum,All educational programs conducted by educational institutions,-1
multi-qa-distilbert-cos-v1,pail,"A watertight cylindrical vessel, open at the top, with a cup handle",-1
multi-qa-distilbert-cos-v1,clap,Clapping your fingers with a sudden explosive sound like clapping,-1
multi-qa-distilbert-cos-v1,club,"A heavy hard rod, usually thick at one end, suitable for use as a hammer",-1
multi-qa-distilbert-cos-v1,energy,"Work ability or efficiency, strength of power",-1
multi-qa-distilbert-cos-v1,pursuit,An act or rule that is followed or required to be followed,-1
multi-qa-distilbert-cos-v1,slam,hitting or falling very hard,-1
multi-qa-distilbert-cos-v1,percussion,Especially when making noise to smash two things together,-1
multi-qa-distilbert-cos-v1,sentimentality,a striking or emotional quality or state of affairs,-1
multi-qa-distilbert-cos-v1,culture,"social practices, belief systems, the arts, and all other products of human activity and imagination, inclusive.",-1
multi-qa-distilbert-cos-v1,hardware,Computer Science Computers and associated physical equipment directly involved in the processing of data or communication services,-1
multi-qa-distilbert-cos-v1,cylinder,A geometrical plane in which straight lines intersect each other and move perpendicular to the horizontal axis at the rotating surface.,7
multi-qa-distilbert-cos-v1,trap,"Another explanation is a device that traps and hangs animals, such as a hidden hole or a pincer-like device that immediately closes.",-1
multi-qa-distilbert-cos-v1,heat,"Dictionary Definition of Force is a form of energy associated with the motion of atoms or molecules, transferred by friction through solids and liquids, by viscosity through fluids and can be non-linearly nonlinear.",-1
multi-qa-distilbert-cos-v1,profession,career or profession One of the many compliments a child can give their parents is their career choice John Nathan,1
multi-qa-distilbert-cos-v1,trace,Marks such as tracks made or left by animals or objects,1
multi-qa-distilbert-cos-v1,technological,"Pertaining to or pertaining to technology, especially scientific technology",1
multi-qa-distilbert-cos-v1,joy,happiness and especially joy or happiness,-1
multi-qa-distilbert-cos-v1,gadget,A small specialized mechanical or electronic device is available,-1
multi-qa-distilbert-cos-v1,kill,was killed,-1
multi-qa-distilbert-cos-v1,systems,In terms of quantity,-1
multi-qa-distilbert-cos-v1,innovation,the act of introducing something new,1
multi-qa-distilbert-cos-v1,snare,Traps are usually used as nets to catch birds and small animals,-1
multi-qa-distilbert-cos-v1,ambush,The act of believing in strength,-1
multi-qa-distilbert-cos-v1,wheel,A wheel is a mechanical disc or circular device,-1
multi-qa-distilbert-cos-v1,equipment,overlapping actions or events,-1
multi-qa-distilbert-cos-v1,bounty,To give generously,-1
multi-qa-distilbert-cos-v1,schooling,A course or course offered in a school,-1
multi-qa-distilbert-cos-v1,gun,The dictionary definition of a firearm is a steel-barreled weapon that fires a shot with a high velocity along a smooth trajectory.,-1
multi-qa-distilbert-cos-v1,perception,performance or teacher perception,-1
multi-qa-distilbert-cos-v1,probe,Navigation is an exploratory activity or a device designed primarily to explore distant or unknown places and obtain information.,-1
multi-qa-distilbert-cos-v1,music,"Ability to manipulate sounds in time to create a continuous and engaging musical experience with rhythm, harmony, rhythm and rhythm.",-1
multi-qa-distilbert-cos-v1,learning,work or experience to acquire knowledge or skills,-1
multi-qa-distilbert-cos-v1,happiness,Feelings of happiness,-1
multi-qa-distilbert-cos-v1,drummer,It sounded like a drum,-1
multi-qa-distilbert-cos-v1,manhunt,Often the culprits are being sought,-1
