model name,word,test set definition,ranking
onelook.com,probe,"Any of various medical instruments used to explore wounds, organs, etc.",1
onelook.com,drum,"A percussive musical instrument spanned with a thin covering on at least one end for striking, forming an acoustic chamber, affecting what materials are used to make it; a membranophone.",1
onelook.com,chase,The act of one who chases another; a pursuit.,1
onelook.com,swot,Vigorous study at an educational institution.,-1
onelook.com,industry,"Businesses of the same type, considered as a whole. Trade.",1
onelook.com,impression,"The overall effect of something, e.g., on a person.",-1
onelook.com,hunters,One who hunts game for sport or for food; a huntsman or huntswoman.,-1
onelook.com,kindergarten,"An educational institution for young children, usually between ages 4 and 6; nursery school.",2
onelook.com,track,A mark left by something that has passed along.,2
onelook.com,explore,To seek for something or after someone.,161
onelook.com,wolves,"The gray wolf, specifically all subspecies of the gray wolf (Canis lupus) that are not dingoes or dogs.",-1
onelook.com,classwork,That part of a scholar's work that is done in class.,-1
onelook.com,psychology,The study of the human mind.,1
onelook.com,university,"Institution of higher education (typically accepting students from the age of about 17 or 18, depending on country, but in some exceptional cases able to take younger students) where subjects are studied and researched in depth and degrees are offered.",1
onelook.com,canister,"A cylindrical or rectangular container usually of lightweight metal, plastic, or laminated pasteboard used for holding a dry product (as tea, crackers, flour, matches).",25
onelook.com,saxophone,"A single-reed instrument musical instrument of the woodwind family, usually made of brass and with a distinctive loop bringing the bell upwards.",1
onelook.com,internet,Any set of computer networks that communicate using the Internet Protocol. (An intranet.),8
onelook.com,breeding,Propagation of offspring through sexual reproduction.,3
onelook.com,adult,A fully grown human or animal.,1
onelook.com,culture,"The arts, customs, lifestyles, background, and habits that characterize a particular society or nation.",1
onelook.com,trombone,"A musical instrument in the brass family, having a cylindrical bore, and usually a sliding tube (but sometimes piston valves, and rarely both). Most often refers to the tenor trombone, which is the most common type of trombone and has a fundamental tone of B sharp (contra B sharp).",-1
onelook.com,happiness,The emotion of being happy; joy.,1
onelook.com,bugle,"A simple brass instrument consisting of a horn with no valves, playing only pitches in its harmonic series",1
onelook.com,seek,To try to find; to look for; to search for.,1
onelook.com,teacher,"A person who teaches, especially one employed in a school.",3
onelook.com,hit,A blow; a punch; a striking against; the collision of one body against another; the stroke that touches anything.,1
onelook.com,beat,"To strike or pound repeatedly, usually in some sort of rhythm.",1
onelook.com,schooling,"To educate, teach, or train (often, but not necessarily, in a school).",-1
onelook.com,gun,A device for projecting a hard object very forcefully; a firearm or cannon.,1
onelook.com,humanities,"The study of language, literature, the arts, and philosophy, sometimes including religion",1
onelook.com,pail,"A vessel of wood, tin, plastic, etc., usually cylindrical and having a handle -- used especially for carrying liquids, for example water or milk; a bucket (sometimes with a cover).",1
onelook.com,foxhunt,"A hunt for foxes, usually with dogs.",3
onelook.com,society,"A long-standing group of people sharing cultural aspects such as language, dress, norms of behavior and artistic forms.",1
onelook.com,heat,Thermal energy.,1
onelook.com,hunt,To find or search for an animal in the wild with the intention of killing the animal for its meat or for sport.,1
onelook.com,innovations,"Something new, and contrary to established customs, manners, or rites.",-1
onelook.com,membranophone,Any musical instrument that produces sound via the vibration of a stretched membrane.,-1
onelook.com,development,"The process of developing; growth, directed change.",1
onelook.com,violence,"Action which causes destruction, pain, or suffering.",29
onelook.com,computing,The process or act of calculation.,19
onelook.com,emotion,"A person's internal state of being and involuntary physiological response to an object or a situation, based on or tied to physical state and sensory data.",1
onelook.com,capture,"The securing of an object of strife or desire, as by the power of some attraction.",1
onelook.com,drive,"Violent or rapid motion; a rushing onward or away; especially, a forced or hurried dispatch of business.",1
onelook.com,tympan,The stretched membrane of a drum.,-1
onelook.com,flute,"A woodwind instrument consisting of a tube with a row of holes that produce sound through vibrations caused by air blown across the edge of the holes, often tuned by plugging one or more holes with a finger; the Western concert flute, a transverse side-blown flute of European origin.",-1
onelook.com,snipe,A shot fired from a concealed place.,5
onelook.com,invention,The act of discovering or finding; the act of finding out; discovery.,97
onelook.com,bionics,"The design of engineering systems, especially electronic ones, based on that of biological systems.",4
onelook.com,humility,The characteristic of being humble; humbleness in character and behavior.,1
onelook.com,piano,"A percussive keyboard musical instrument, usually ranging over seven octaves, with white and black colored keys, played by pressing these keys, causing hammers to strike strings",1
onelook.com,awe,A feeling of fear and reverence.,1
onelook.com,tutelage,Instruction; teaching; guidance,16
onelook.com,medicine,A substance which specifically promotes healing when ingested or consumed in some way.,5
onelook.com,lesson,Something learned or to be learned.,2
onelook.com,student,"A person who is formally enrolled at a school, a college or university, or another educational institution.",2
onelook.com,hardware,"Fixtures, equipment, tools and devices used for general-purpose construction and repair of a structure or object. Also such equipment as sold as stock by a store of the same name, e.g. hardware store.",-1
onelook.com,shoot,The act of shooting; the discharge of a missile; a shot.,-1
onelook.com,computer,"A programmable electronic device that performs mathematical calculations and logical operations, especially one that can process, store and retrieve large amounts of data very quickly; now especially, a small one for personal or home use employed for manipulating text or graphics, accessing the Internet, or playing games or media.",2
onelook.com,chord,A harmonic set of three or more notes that is heard as if sounding simultaneously.,1
onelook.com,pedagogy,"The activities of educating, teaching or instructing.",3
onelook.com,zeal,"The fervour or tireless devotion for a person, cause, or ideal and determination in its furtherance; diligent enthusiasm; powerful interest.",2
onelook.com,school,"An educational institution providing primary and secondary education, prior to tertiary education (college or university).",1
