model name,word,test set definition,ranking
onelook.com,can,a buoy with a round bottom and conical top,4
onelook.com,educationist,a specialist in the theory of education,4
onelook.com,lyceum,a school for students intermediate between elementary school and college ; usually grades 9 to 12,5
onelook.com,technology,the practical application of science to commerce or industry,1
onelook.com,device,a contrivance or an invention serving a particular purpose especially a machine used to perform one or more relatively simple tasks,1
onelook.com,look,to employ one s sight especially in a given direction or on a given object looking out the window looked at the floor,1
onelook.com,robotics,the science or study of the technology associated with the design fabrication theory and application of robots,1
onelook.com,technical,of relating to or derived from technique,1
onelook.com,foxhunt,a hunt for foxes normally with dogs,3
onelook.com,falcon,any of various birds of prey of the family falconidae and especially of the genus falco having a short curved beak and long pointed powerful wings adapted for swift flight,1
onelook.com,ferret,a weasellike usually albino mammal mustela putorius furo related to the polecat and often trained to hunt rats or rabbits,1
onelook.com,timpani,a set of kettledrums,1
onelook.com,sadness,the state or emotion of being sad,1
onelook.com,kindergarten,a program or class for four year old to six year old children that serves as an introduction to school,1
onelook.com,development,the act of developing,1
onelook.com,sound,vibrations transmitted through an elastic solid or a liquid or gas with frequencies in the approximate range of to hertz capable of being detected by human organs of hearing,1
onelook.com,psychology,the science that deals with mental processes and behavior,1
onelook.com,invention,the act or process of inventing used a technique of her own invention,9
onelook.com,society,the totality of social relationships among humans,-1
onelook.com,telephone,an instrument that converts voice and other sound signals into a form that can be transmitted to remote locations and that receives and reconverts waves into sound signals,1
onelook.com,sympathy,a relationship or an affinity between people or things in which whatever affects one correspondingly affects the other,1
onelook.com,fowl,any of various birds of the order galliformes especially the common widely domesticated chicken gallus gallus,1
onelook.com,fear,a feeling of agitation and anxiety caused by the presence or imminence of danger,1
onelook.com,lesson,something to be learned lessons from observing nature,5
onelook.com,chord,a combination of three or more pitches sounded simultaneously,1
onelook.com,guitar,a musical instrument having a flat backed rounded body that narrows in the middle a long fretted neck and usually six strings played by strumming or plucking,1
onelook.com,mood,a state of mind or emotion,1
onelook.com,course,a complete body of prescribed studies constituting a curriculum a four year course in engineering,-1
onelook.com,biomedical,of or pertaining to biomedicine,1
onelook.com,orchestral,relating to an orchestra or to music played by an orchestra,1
