model name,word,test set definition,ranking
multi-qa-distilbert-cos-v1,can,Buoy round bottom and conical top,1
multi-qa-distilbert-cos-v1,educationist,Specialist in educational theory,1
multi-qa-distilbert-cos-v1,lyceum,high school and college; Usually 9th to 12th grade,1
multi-qa-distilbert-cos-v1,technology,Practical application of science in commerce or industry,1
multi-qa-distilbert-cos-v1,device,"a device or invention that serves a purpose, especially a machine used to perform one or more relatively simple tasks",1
multi-qa-distilbert-cos-v1,look,"Use a gaze, especially in a direction or an object to look out a window, look at the floor",2
multi-qa-distilbert-cos-v1,robotics,The science or study of technology related to production design theory and the use of robots,1
multi-qa-distilbert-cos-v1,technical,related to or derived from technology,1
multi-qa-distilbert-cos-v1,foxhunt,Hunting wolves and dogs,3
multi-qa-distilbert-cos-v1,falcon,"Any bird of prey in the falcon family, and especially in the falcon genus, having a short curved beak and long, pointed, strong wings adapted for rapid flight.",2
multi-qa-distilbert-cos-v1,ferret,"Stony mammals, usually albinos, Mustela Putorius furo, related to the ogre and usually trained to hunt mice or rabbits.",1
multi-qa-distilbert-cos-v1,timpani,A set of blankets,-1
multi-qa-distilbert-cos-v1,sadness,The state or emotion of being sad,1
multi-qa-distilbert-cos-v1,kindergarten,A program or activity for four to six year olds that is an introduction to school,1
multi-qa-distilbert-cos-v1,development,Job development,-1
multi-qa-distilbert-cos-v1,sound,"Vibrations are transmitted through an elastic solid, liquid or gas with frequencies in the Hertz range that can be detected by human hearing.",1
multi-qa-distilbert-cos-v1,psychology,The science that deals with cognitive processes and behavior,1
multi-qa-distilbert-cos-v1,invention,The act or process of inventing uses one's own inventive techniques,1
multi-qa-distilbert-cos-v1,society,A set of social relationships between people,1
multi-qa-distilbert-cos-v1,telephone,An instrument that converts voice and other sound signals into a form that can be transmitted over long distances and receives the waves and converts them into sound signals.,1
multi-qa-distilbert-cos-v1,sympathy,A relationship or association between people and things in which what affects one has a corresponding effect on the other,1
multi-qa-distilbert-cos-v1,fowl,"Any bird of the order Galliformes, especially the common domestic fowl gallus gallus",1
multi-qa-distilbert-cos-v1,fear,A feeling of restlessness and anxiety due to the presence or impending danger,1
multi-qa-distilbert-cos-v1,lesson,Some lessons can be learned by observing nature,1
multi-qa-distilbert-cos-v1,chord,A combination of three or more notes sounding together,1
multi-qa-distilbert-cos-v1,guitar,"A musical instrument with a round, flat back that curves at the center of a long neck and usually has six strings that are plucked or plucked.",1
multi-qa-distilbert-cos-v1,mood,A state of mind or emotion,1
multi-qa-distilbert-cos-v1,course,A comprehensive set of prescribed studies covering the four-year engineering curriculum,1
multi-qa-distilbert-cos-v1,biomedical,or related to biomedicine,1
multi-qa-distilbert-cos-v1,orchestral,Of or related to music of an orchestra,1
multi-qa-distilbert-cos-v1,ardor,Feeling of burning intensity,3
multi-qa-distilbert-cos-v1,cannister,Especially the typical cylindrical storage bin,1
multi-qa-distilbert-cos-v1,dog,"Canis familis is a carnivorous mammal, related to wolves and foxes and bred in several breeds.",1
multi-qa-distilbert-cos-v1,classwork,Part of a scientist's work is done in the classroom,1
multi-qa-distilbert-cos-v1,shoot,To injure or kill by a projectile fired from a gun,4
multi-qa-distilbert-cos-v1,trumpet,"A brass instrument for the soprano, consisting of a long metal tube coiled once and ending in a bell, began in the modern type, with three pipes to produce a difference in tone.",1
multi-qa-distilbert-cos-v1,homework,Tasks such as schoolwork or homework,1
multi-qa-distilbert-cos-v1,bucket,A cylindrical container used for storing or transporting buckets of liquids or solids,3
multi-qa-distilbert-cos-v1,anxiety,A state of fear and worry about an uncertain future,1
multi-qa-distilbert-cos-v1,teacher,"A person who teaches, especially one who teaches",1
multi-qa-distilbert-cos-v1,tuition,"Tuition fees, especially at a formal educational institution",1
multi-qa-distilbert-cos-v1,stalk,The stem or main axis of a plant,1
multi-qa-distilbert-cos-v1,machine,A device with fixed and moving parts that converts mechanical energy into a more useful form,1
multi-qa-distilbert-cos-v1,predation,The act or habit of stealing or stealing,-1
multi-qa-distilbert-cos-v1,hunter,Someone who hunts game,1
multi-qa-distilbert-cos-v1,saxophone,"A woodwind instrument with a reed mouthpiece and usually a curved conical metal pipe, covering the soprano-alto-tenor and baritone scales.",1
multi-qa-distilbert-cos-v1,impression,An emotional feeling or image that persists as a result of an experience,1
multi-qa-distilbert-cos-v1,flute,A high woodwind instrument consisting of a thin tube closed at one end with keys and finger holes on the side and a hole near the closed end through which the breath is taken.,1
multi-qa-distilbert-cos-v1,sentiment,"An opinion or attitude, especially one based largely on emotion rather than reason, and an anti-American sentiment sweeping through the nation.",1
multi-qa-distilbert-cos-v1,fervency,The state or quality of being warm,-1
multi-qa-distilbert-cos-v1,tutoring,Private tutor,3
multi-qa-distilbert-cos-v1,knowledge,state or fact of knowledge,-1
multi-qa-distilbert-cos-v1,experience,Capture a thought or emotion through the senses or mind during a child's first snow experience,-1
multi-qa-distilbert-cos-v1,frustration,An act or example of frustration,-1
multi-qa-distilbert-cos-v1,bat,A strong wooden stick of sticks,-1
multi-qa-distilbert-cos-v1,prey,An animal that hunts or catches food,-1
multi-qa-distilbert-cos-v1,searching,To investigate or scrutinize exploratory research into past relationships,-1
multi-qa-distilbert-cos-v1,barrel,"A large cylindrical container, usually made of sticks tied into rings with a flat top and bottom of the same diameter.",-1
multi-qa-distilbert-cos-v1,cram,Forcefully grasping or squeezing objects with insufficient space,-1
