model name,word,test set definition,ranking
reversedictionary.org,probe,"Any of various medical instruments used to explore wounds, organs, etc.",1
reversedictionary.org,drum,"A percussive musical instrument spanned with a thin covering on at least one end for striking, forming an acoustic chamber, affecting what materials are used to make it; a membranophone.",1
reversedictionary.org,chase,The act of one who chases another; a pursuit.,3
reversedictionary.org,swot,Vigorous study at an educational institution.,1
reversedictionary.org,industry,"Businesses of the same type, considered as a whole. Trade.",8
reversedictionary.org,impression,"The overall effect of something, e.g., on a person.",1
reversedictionary.org,hunters,One who hunts game for sport or for food; a huntsman or huntswoman.,-1
reversedictionary.org,kindergarten,"An educational institution for young children, usually between ages 4 and 6; nursery school.",1
reversedictionary.org,track,A mark left by something that has passed along.,1
reversedictionary.org,explore,To seek for something or after someone.,1
reversedictionary.org,wolves,"The gray wolf, specifically all subspecies of the gray wolf (Canis lupus) that are not dingoes or dogs.",-1
reversedictionary.org,classwork,That part of a scholar's work that is done in class.,1
reversedictionary.org,psychology,The study of the human mind.,1
reversedictionary.org,university,"Institution of higher education (typically accepting students from the age of about 17 or 18, depending on country, but in some exceptional cases able to take younger students) where subjects are studied and researched in depth and degrees are offered.",1
reversedictionary.org,canister,"A cylindrical or rectangular container usually of lightweight metal, plastic, or laminated pasteboard used for holding a dry product (as tea, crackers, flour, matches).",1
reversedictionary.org,saxophone,"A single-reed instrument musical instrument of the woodwind family, usually made of brass and with a distinctive loop bringing the bell upwards.",1
reversedictionary.org,internet,Any set of computer networks that communicate using the Internet Protocol. (An intranet.),1
reversedictionary.org,breeding,Propagation of offspring through sexual reproduction.,1
reversedictionary.org,adult,A fully grown human or animal.,1
reversedictionary.org,culture,"The arts, customs, lifestyles, background, and habits that characterize a particular society or nation.",1
reversedictionary.org,trombone,"A musical instrument in the brass family, having a cylindrical bore, and usually a sliding tube (but sometimes piston valves, and rarely both). Most often refers to the tenor trombone, which is the most common type of trombone and has a fundamental tone of B sharp (contra B sharp).",1
reversedictionary.org,happiness,The emotion of being happy; joy.,1
reversedictionary.org,bugle,"A simple brass instrument consisting of a horn with no valves, playing only pitches in its harmonic series",1
reversedictionary.org,seek,To try to find; to look for; to search for.,1
reversedictionary.org,teacher,"A person who teaches, especially one employed in a school.",1
reversedictionary.org,hit,A blow; a punch; a striking against; the collision of one body against another; the stroke that touches anything.,1
reversedictionary.org,beat,"To strike or pound repeatedly, usually in some sort of rhythm.",1
reversedictionary.org,schooling,"To educate, teach, or train (often, but not necessarily, in a school).",-1
reversedictionary.org,gun,A device for projecting a hard object very forcefully; a firearm or cannon.,1
reversedictionary.org,humanities,"The study of language, literature, the arts, and philosophy, sometimes including religion",64
reversedictionary.org,pail,"A vessel of wood, tin, plastic, etc., usually cylindrical and having a handle -- used especially for carrying liquids, for example water or milk; a bucket (sometimes with a cover).",1
reversedictionary.org,foxhunt,"A hunt for foxes, usually with dogs.",-1
reversedictionary.org,society,"A long-standing group of people sharing cultural aspects such as language, dress, norms of behavior and artistic forms.",1
reversedictionary.org,heat,Thermal energy.,1
reversedictionary.org,hunt,To find or search for an animal in the wild with the intention of killing the animal for its meat or for sport.,1
reversedictionary.org,innovations,"Something new, and contrary to established customs, manners, or rites.",-1
reversedictionary.org,membranophone,Any musical instrument that produces sound via the vibration of a stretched membrane.,1
reversedictionary.org,development,"The process of developing; growth, directed change.",1
reversedictionary.org,violence,"Action which causes destruction, pain, or suffering.",58
reversedictionary.org,computing,The process or act of calculation.,2
reversedictionary.org,emotion,"A person's internal state of being and involuntary physiological response to an object or a situation, based on or tied to physical state and sensory data.",1
reversedictionary.org,capture,"The securing of an object of strife or desire, as by the power of some attraction.",1
reversedictionary.org,drive,"Violent or rapid motion; a rushing onward or away; especially, a forced or hurried dispatch of business.",1
reversedictionary.org,tympan,The stretched membrane of a drum.,3
