model name,word,test set definition,ranking
reversedictionary.org,sadness,the state of negative emotion often after an unfortunate event or a diversion of reality and expectation,384
reversedictionary.org,psychology,the field of study of human behaviour,3
reversedictionary.org,sympathy,a feeling marked by similarity or connection,361
reversedictionary.org,fear,feeling in response to danger or anticipated powerlessness or vulnerability,19
reversedictionary.org,chord,a collection of musical notes often creating a sentiment,11
reversedictionary.org,mood,the combination of emotions felt at a point in time,-1
reversedictionary.org,ardor,"feeling an emotion to a great extent, often enthusiasm",145
reversedictionary.org,anxiety,a feeling of uncertainty or fear often in anticipation,31
reversedictionary.org,impression,a shape or emotional state left by something,-1
reversedictionary.org,sentiment,a collection of emotions often of a group of people regarding a particular subject,-1
reversedictionary.org,fervency,feeling marked by strength and sincerity,-1
reversedictionary.org,frustration,the negative emotion felt after (a series of) event that were close to the desired outcome but did not achieve it,-1
reversedictionary.org,love,"the feeling of deep affection for a small, select group of people",1
reversedictionary.org,intensity,measure of forcefulness or vibrance,443
reversedictionary.org,anger,"strong, sometimes aggressive feeling of extreme frustration",7
reversedictionary.org,fire,flaming appearance of energy produced by combustion,25
reversedictionary.org,sentimentality,a period of time or the quality of being marked by feeling deeply or intentionally,136
reversedictionary.org,heat,expression of high energy,-1
reversedictionary.org,joy,a feeling of extreme happyness or exultation,19
reversedictionary.org,perception,a notion created by observation,46
reversedictionary.org,happiness,a positive feeling marked by pleasure or satisfaction,-1
reversedictionary.org,enthusiasm,feeling of excitement marked by great energy and anticipation,12
reversedictionary.org,sensation,perception of a physical feeling,2
reversedictionary.org,sense,logical coherence or rationality,14
reversedictionary.org,consciousness,the ability to observe one's thoughts,-1
reversedictionary.org,excitement,the feeling of being happy in anticipation,31
reversedictionary.org,emotionality,the state of having or expressing strong feelings,-1
reversedictionary.org,vehemence,measure of great intensity,188
reversedictionary.org,violence,display or act of physical force causing harm,2
reversedictionary.org,compassion,the feeling or acting upon profound understanding and kindness,174
reversedictionary.org,empathy,the ability to put oneself into someone else's situation,11
reversedictionary.org,humility,a self-presentation rooted in an honest assessment and awareness of one's skills and characteristics,72
reversedictionary.org,feeling,a less defined emotion,1
reversedictionary.org,emotional,marked by emotion often in negative context,1
reversedictionary.org,emotion,a defined mental state in response to a situation or event,28
reversedictionary.org,fervor,a feeling marked by strength and sincerity,28
reversedictionary.org,awe,the state of feeling a combination of profound respect and admiration,2
reversedictionary.org,indignation,a feeling of anger or frustration caused by the perception of something unjust,1
